1chKYR_sXd8OgzoGsHP_lXCmKOK3v0z6B	[music] Post Malone - Reputation	mp3	181.08	CinePRO Sound Design	PLAYLIST	
1Oad7u-grdG5-amD1v7yOMpwl8qJhmBGG	[vocals] Post Malone - Reputation	mp3	181.08	CinePRO Sound Design	PLAYLIST	
1K42D1zZqcQHjZc1-3l4jZS0bv_62uiA4	01	wav	2.23	CinePRO Sound Design	SFX	
1471lJxskUBGY2Lh2CPGG5_bd8lEmD8Z8	01 - Thoughts	wav	274.56	CinePRO Sound Design	PLAYLIST	
18JJzf3b3ZwugnyJjzEwt8zaRfkLdYcJs	01 Air Dock	mp3	7.9	CinePRO Sound Design	Essentials	
1jOE43oOM6rEgMOkSXgnvwRjyiQzlqioS	01 Bright Start A	mp3	16.71	CinePRO Sound Design	Essentials	
1KU9FesL1Ckm4jxmb0NnxKstQyeUN31G8	01 Chopper A	wav	12	CinePRO Sound Design	Essentials	
1DrzSx72dsNJTpVTSl_ro3l0JwFpqyA40	01 Clacker A	wav	3.56	CinePRO Sound Design	Essentials	
1V3GqFyhVwOlLuP0ejfodcHuRUhps8uvg	01 Classic Bass Drop A	wav	6	CinePRO Sound Design	Essentials	
1zfyP8kCziU4SOrYQQpD2gqmtdz-vZrrm	01 Clock Ticking	wav	9.6	CinePRO Sound Design	Essentials	
1nSwrPkhQNKJ2qQpjP03YTL7KArmeT1mi	01 Dark Hit	wav	12	CinePRO Sound Design	Essentials	terror
1mJ9rjg9q6RY-4-_X8wgDkPo1cl8yI7A-	01 Deep Hit A	wav	11	CinePRO Sound Design	Essentials	
1cJWSAMB1Soe2x9PEyDP73ncD4UcEeEXj	01 Epic Riser	wav	7.41	CinePRO Sound Design	Essentials	
1sgYgV1AtV-d1wVcSmxZ7m2WXKiWzDDuS	01 Existence	mp3	52.9	CinePRO Sound Design	Essentials	
1LuqKy9knldSmLvzMLYCUfq2z6artOyES	01 Heartbeat A	wav	24.77	CinePRO Sound Design	Essentials	terror
1aqy88C4aR6WT3V81Do2D-HZTKqxNcQht	01 Low Rumble A	wav	12	CinePRO Sound Design	Essentials	terror
1mfFMlr87uqU5Pdu9RL9buztbItCTef8F	01 Moment of Truth	mp3	8.79	CinePRO Sound Design	Essentials	
1uyPlcBCdS2gnn6BqRVsERGjogQqmScwv	01 Muffled Piano Hit A	wav	13.37	CinePRO Sound Design	Essentials	
1WCzp50zKYwSd1FjhI3Rqzwl-M-AkSTWr	01 New World	mp3	11.07	CinePRO Sound Design	Essentials	
1K3F8LK5lrTdJyh3TbGgj5hUb0BN0T1UZ	01 Perfect Braaam	wav	6	CinePRO Sound Design	Essentials	
1QfnZ4c8c46e3hdxDf_V7edfj-Mlgn5gm	01 Pin Points	mp3	58.2	CinePRO Sound Design	Essentials	
1nr96oUtHGIFa1ZAN9GzYfgRWcvu_iM0F	01 Rumble Swell	wav	14.57	CinePRO Sound Design	Essentials	terror
1bymrLjvj50xrM0tjlfyuI-gcWytxBoUr	01 Simple Whoosh A	wav	2.97	CinePRO Sound Design	Essentials	corporativo
16FfrXm7tAsKWLKNWQGO3rNRZrI-yJmZ9	01 Wind A	wav	52.01	CinePRO Sound Design	Essentials	
1Ydt7WtACR9r9yfQ55ezDSyP7qGPJL2o1	01 Woosh1	mp3	1.93	CinePRO Sound Design	SFX	
12ifiD8ZaZOg7WWMUT-13tuU07sUpm7A6	01 Woosh1	wav	1.87	CinePRO Sound Design	SFX	
1aV_MsrmToul-IabcWMcONYB3O4mmk6WT	01_Glitch	wav	0.79	CinePRO Visual	Overlay	reels
1Rzbyk7rgPfomuEpVzRlxqWXC4v6RCnd7	01. Trailer Impact	wav	6	CinePRO Sound Design	SFX	
1IKlIHNawmt-iCL-bR_4GCJkh0sGbalZm	02	wav	2.4	CinePRO Sound Design	SFX	
1-3ghDy9Q2iX30Ap9sJ7fyE0WTef8MJuU	02 Bold Hit	mp3	7.85	CinePRO Sound Design	Essentials	
1gbMS1_8B-UCGXpnnSgWBL3mV-6__ip_F	02 Bright Start B	mp3	8.07	CinePRO Sound Design	Essentials	
1ZNpTYeiatvMV57wjtMpGLVh70FTS-8iA	02 Chopper B	wav	12	CinePRO Sound Design	Essentials	
1wQ3aG1vVQOAaGRID0zkvH8CGZ6sYCurz	02 Clacker B	wav	4.4	CinePRO Sound Design	Essentials	
1H1QZIdCnORELF8f6T-i2iRh-gmns-az7	02 Classic Bass Drop B	wav	6	CinePRO Sound Design	Essentials	
1G1Cnn3mpbw-r1yL-_6DtyEMX8J3qpWMK	02 Clock Ticking	wav	9.6	CinePRO Sound Design	Essentials	
1NnrvTc0to5X25OHb-ef03CSahOIeJ9O8	02 Close Riser	wav	7.75	CinePRO Sound Design	Essentials	
1T5nzu036m2FdXTb2M65tpJPhq99JUyXT	02 Deep Hit B	wav	6.61	CinePRO Sound Design	Essentials	
193c8zBk1r1PRAUxA3vBuGusIQrRKOnBy	02 Dimensions	mp3	74.38	CinePRO Sound Design	Essentials	
